,shortname,name,h5_mean,h5_median,is_conference,Artificial intelligence,Data Mining & Analysis,Databases & Information Systems,Computer Vision & Pattern Recognition,Computational Linguistics,Multimedia,Signal Processing
0,ICML,International Conference on Machine Learning (ICML),193,113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AAAI,AAAI Conference on Artificial Intelligence,101,69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,IJCAI,International Joint Conference on Artificial Intelligence (IJCAI),98,61,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,COLT,Conference on Learning Theory (COLT),60,44,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AIStats,International Conference on Artificial Intelligence and Statistics,59,43,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,KDD,ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,117,77,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,WSDM,ACM International Conference on Web Search and Data Mining,85,55,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,RecSys,ACM Conference on Recommender Systems,61,40,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,ICDM,International Conference on Data Mining,46,37,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,IEEE Big Data,IEEE International Conference on Big Data,54,33,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,SDM,SIAM International Conference on Data Mining (SDM),52,33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,ECML PKDD,European Conference on Machine Learning and Knowledge Discovery in Databases,52,30,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD),34,23,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,WWW,International World Wide Web Conferences (WWW),118,76,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,VLDB,International Conference on Very Large Databases,99,74,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,SIGMOD,ACM SIGMOD International Conference on Management of Data,90,67,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,ICWSM,International Conference on Web and Social Media (ICWSM),92,53,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,ICDE,International Conference on Data Engineering,77,53,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,SIGIR,ACM SIGIR Conference on Research and Development in Information Retrieval,77,52,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,CIKM,ACM International Conference on Information and Knowledge Management,64,49,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,ISWC,International Conference on the Semantic Web,69,41,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,CVPR,"IEEE Conference on Computer Vision and Pattern Recognition, CVPR",302,188,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,ICCV,IEEE International Conference on Computer Vision,204,124,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,ECCV,European Conference on Computer Vision,180,104,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,CVPRW,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,83,47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,BMVC,British Machine Vision Conference (BMVC),71,42,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,ICIP,IEEE International Conference on Image Processing (ICIP),51,41,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
27,FG,IEEE International Conference on Automatic Face & Gesture Recognition,63,36,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,ICDAR,International Conference on Document Analysis and Recognition,47,33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,ACL,Meeting of the Association for Computational Linguistics (ACL),130,87,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,EMNLP,Conference on Empirical Methods in Natural Language Processing (EMNLP),132,76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,HLT-NAACL,Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (HLT-NAACL),99,56,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,LREC,International Conference on Language Resources and Evaluation (LREC),53,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,COLING,International Conference on Computational Linguistics (COLING),52,31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,EACL,Conference of the European Chapter of the Association for Computational Linguistics (EACL),45,28,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,CoNLL,Conference on Computational Natural Language Learning (CoNLL),38,26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,SIGDIAL,Annual Meeting of the Special Interest Group on Discourse and Dialogue (SIGDIAL),42,23,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,CICLing,International Conference on Computational Linguistics and Intelligent Text Processing,33,21,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,IJCNLP,International Joint Conference on Natural Language Processing (IJCNLP),35,19,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,ACMMM,ACM International Conference on Multimedia,74,49,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,ICMR,ACM International Conference on Multimedia Retrieval,51,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,ISMIR,International Society for Music Information Retrieval Conference,38,28,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,MMSys,ACM Multimedia Systems Conference (MMSys),39,27,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,ICME,IEEE International Conference on Multimedia and Expo,34,26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,AVSS,IEEE International Conference on Advanced Video and Signal-Based Surveillance (AVSS),28,21,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,ICMEW,IEEE International Conference on Multimedia and Expo Workshops (ICMEW),28,21,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,MMM,Conference on Multimedia Modeling,26,20,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,ICASSP,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",122,79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,INTERSPEECH,Conference of the International Speech Communication Association (INTERSPEECH),85,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,VTC,"IEEE Vehicular Technology Conference, VTC",62,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
